Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1991,22,NYY,AL,85,374,320,43,76,19,4,3,34,10,5,48,57,.238,.336,.350,.686,91,112,4,1,2,3,0,8,
1992,23,NYY,AL,62,293,261,39,73,14,2,5,26,7,6,29,36,.280,.354,.406,.760,114,106,5,1,2,0,1,8/79,
1993,24,NYY,AL,139,628,567,67,152,31,4,12,68,9,9,53,106,.268,.333,.400,.734,100,227,17,4,1,3,4,*8,
1994,25,NYY,AL,108,475,408,80,118,29,1,12,57,16,9,61,54,.289,.384,.453,.837,120,185,11,3,1,2,2,*8,
1995,26,NYY,AL,144,648,563,93,173,29,9,18,82,8,6,75,98,.307,.392,.487,.878,129,274,12,5,2,3,1,*8,
1996,27,NYY,AL,143,641,551,108,168,26,7,29,102,17,4,82,72,.305,.391,.535,.926,131,295,15,0,1,7,8,*8/D,MVP-17
1997,28,NYY,AL,129,591,509,107,167,35,6,21,100,15,8,73,80,.328,.408,.544,.952,147,277,10,1,0,8,7,*8,ASMVP-17GG
1998,29,NYY,AL,128,578,499,101,169,30,5,26,97,15,9,74,81,.339,.422,.575,.997,160,287,19,1,0,4,9,*8/D,ASMVP-7GG
1999,30,NYY,AL,158,697,591,116,202,28,6,25,115,9,10,100,95,.342,.435,.536,.971,149,317,11,1,0,5,17,*8/D,ASMVP-11GG
2000,31,NYY,AL,141,616,537,108,165,37,6,30,121,13,5,71,84,.307,.391,.566,.957,140,304,15,5,0,3,11,*8/D,ASMVP-13GG
2001,32,NYY,AL,146,633,540,102,166,38,0,26,94,11,5,78,67,.307,.395,.522,.917,139,282,15,6,0,9,11,*8/D,AS
2002,33,NYY,AL,154,699,612,102,204,37,2,19,102,8,4,83,97,.333,.415,.493,.908,141,302,19,3,0,1,7,*8/D,MVP-10SS
2003,34,NYY,AL,119,521,445,77,117,19,1,15,64,5,0,71,61,.263,.367,.411,.778,107,183,21,3,0,2,8,*8/D,
2004,35,NYY,AL,148,651,561,105,147,29,1,22,70,1,5,85,96,.262,.360,.435,.795,108,244,19,2,1,2,5,8D,
2005,36,NYY,AL,141,546,485,53,121,19,1,12,64,1,2,53,75,.249,.321,.367,.688,85,178,16,1,1,6,1,*8D,
2006,37,NYY,AL,131,462,420,65,118,29,0,12,61,2,0,33,53,.281,.332,.436,.768,96,183,14,2,1,6,5,9D8/7,
